iter	Passed	Remaining
774	20082	2047
775	20107	2021
776	20134	1995
777	20163	1969
778	20190	1943
779	20216	1918
780	20238	1891
781	20261	1865
782	20287	1839
783	20310	1813
784	20338	1787
785	20362	1761
786	20389	1735
787	20412	1709
788	20434	1683
789	20467	1658
790	20502	1632
791	20534	1607
792	20558	1581
793	20583	1555
794	20609	1529
795	20631	1503
796	20658	1477
797	20684	1451
798	20708	1425
799	20727	1399
800	20757	1373
801	20786	1347
802	20814	1321
803	20840	1296
804	20865	1270
805	20885	1243
806	20910	1217
807	20934	1191
808	20958	1165
809	20982	1139
810	21007	1113
811	21030	1087
812	21056	1061
813	21080	1035
814	21104	1009
815	21127	983
816	21152	957
817	21179	932
818	21205	906
819	21230	880
820	21252	854
821	21279	828
822	21303	802
823	21330	776
824	21356	750
825	21384	724
826	21410	699
827	21435	673
828	21460	647
829	21483	621
830	21509	595
831	21534	569
832	21560	543
833	21587	517
834	21611	491
835	21636	465
836	21660	439
837	21682	413
838	21710	388
839	21731	362
840	21757	336
841	21782	310
842	21805	284
843	21828	258
844	21852	232
845	21876	206
846	21900	180
847	21922	155
848	21947	129
849	21972	103
850	22000	77
851	22027	51
852	22052	25
853	22078	0
